id,date,amount,income_src
501,12/15/2023,"€623,94",Investment
502,12/17/2023,"€796,40",Freelance
503,9/22/2024,"€717,19",Gift
504,7/5/2024,"€345,06",Freelance
505,10/20/2024,"€492,01",Rental Income
506,6/29/2024,"€94,99",Freelance
507,8/17/2024,"€999,26",Gift
508,3/17/2024,"€220,91",Gift
509,4/11/2024,"€13,94",Investment
510,9/5/2024,"€828,39",Gift
511,5/18/2024,"€262,73",Freelance
512,7/26/2024,"€488,08",Rental Income
513,9/15/2024,"€230,29",Salary
514,11/7/2024,"€203,26",Gift
515,5/20/2024,"€259,33",Rental Income
516,11/4/2024,"€664,09",Freelance
517,2/25/2024,"€437,92",Investment
518,2/19/2024,"€934,12",Salary
519,5/6/2024,"€292,27",Salary
520,9/30/2024,"€448,74",Gift
521,1/28/2024,"€191,18",Investment
522,12/7/2023,"€33,45",Freelance
523,4/28/2024,"€396,54",Gift
524,1/7/2024,"€560,14",Gift
525,7/17/2024,"€257,25",Salary
526,5/10/2024,"€710,24",Gift
527,10/12/2024,"€710,63",Salary
528,4/9/2024,"€191,87",Salary
529,12/30/2023,"€70,88",Gift
530,4/13/2024,"€21,17",Freelance
531,1/23/2024,"€614,04",Investment
532,8/26/2024,"€667,02",Rental Income
533,8/29/2024,"€663,49",Investment
534,10/1/2024,"€370,07",Rental Income
535,11/29/2023,"€384,27",Salary
536,5/28/2024,"€368,60",Investment
537,7/19/2024,"€203,71",Freelance
538,11/19/2023,"€283,84",Rental Income
539,5/4/2024,"€115,97",Investment
540,8/3/2024,"€179,78",Investment
541,12/23/2023,"€656,00",Freelance
542,11/1/2024,"€501,16",Salary
543,5/18/2024,"€781,76",Gift
544,12/31/2023,"€155,80",Gift
545,11/22/2023,"€453,32",Freelance
546,3/16/2024,"€290,52",Gift
547,10/29/2024,"€108,47",Salary
548,2/17/2024,"€609,95",Gift
549,6/24/2024,"€765,42",Salary
550,5/31/2024,"€794,28",Freelance
551,3/9/2024,"€464,78",Investment
552,5/7/2024,"€900,04",Investment
553,4/24/2024,"€525,77",Investment
554,8/7/2024,"€722,20",Gift
555,5/23/2024,"€908,46",Rental Income
556,8/28/2024,"€885,43",Gift
557,10/7/2024,"€638,87",Salary
558,3/10/2024,"€979,91",Gift
559,12/24/2023,"€233,82",Freelance
560,7/20/2024,"€299,69",Investment
561,9/24/2024,"€144,10",Salary
562,9/18/2024,"€213,24",Freelance
563,5/25/2024,"€57,26",Salary
564,8/4/2024,"€938,41",Rental Income
565,9/30/2024,"€418,16",Investment
566,3/19/2024,"€657,36",Gift
567,5/29/2024,"€731,97",Rental Income
568,9/9/2024,"€166,24",Salary
569,8/9/2024,"€880,21",Rental Income
570,12/31/2023,"€846,59",Gift
571,12/6/2023,"€414,89",Gift
572,9/27/2024,"€220,48",Salary
573,9/24/2024,"€812,26",Rental Income
574,3/3/2024,"€557,55",Gift
575,10/4/2024,"€489,03",Freelance
576,9/26/2024,"€291,36",Investment
577,2/28/2024,"€276,17",Rental Income
578,8/26/2024,"€478,46",Gift
579,2/28/2024,"€229,68",Rental Income
580,10/30/2024,"€377,00",Investment
581,9/11/2024,"€983,51",Investment
582,9/13/2024,"€978,12",Investment
583,2/18/2024,"€309,85",Rental Income
584,8/10/2024,"€10,18",Gift
585,7/14/2024,"€151,62",Rental Income
586,2/24/2024,"€725,76",Investment
587,12/2/2023,"€529,51",Gift
588,10/26/2024,"€417,72",Gift
589,7/23/2024,"€75,43",Salary
590,9/1/2024,"€744,82",Rental Income
591,12/19/2023,"€803,00",Salary
592,6/27/2024,"€656,85",Gift
593,4/27/2024,"€86,65",Investment
594,7/23/2024,"€321,41",Freelance
595,1/20/2024,"€642,16",Salary
596,4/13/2024,"€956,08",Investment
597,10/22/2024,"€106,38",Salary
598,8/16/2024,"€694,37",Freelance
599,9/21/2024,"€691,33",Freelance
600,1/14/2024,"€940,28",Freelance
601,6/4/2024,"€400,17",Salary
602,2/4/2024,"€809,85",Salary
603,4/4/2024,"€393,75",Investment
604,6/1/2024,"€117,07",Investment
605,3/19/2024,"€938,81",Gift
606,5/27/2024,"€682,99",Gift
607,3/10/2024,"€60,75",Rental Income
608,11/12/2023,"€437,80",Rental Income
609,3/13/2024,"€747,11",Freelance
610,12/30/2023,"€566,89",Freelance
611,10/6/2024,"€116,14",Investment
612,8/5/2024,"€60,73",Investment
613,6/19/2024,"€403,51",Rental Income
614,4/1/2024,"€369,15",Freelance
615,12/1/2023,"€310,96",Freelance
616,7/27/2024,"€953,85",Rental Income
617,4/16/2024,"€308,65",Salary
618,2/7/2024,"€720,86",Freelance
619,11/23/2023,"€514,97",Salary
620,5/4/2024,"€916,93",Investment
621,11/4/2024,"€385,19",Gift
622,5/28/2024,"€149,44",Gift
623,2/8/2024,"€318,84",Freelance
624,5/27/2024,"€620,87",Freelance
625,10/15/2024,"€100,68",Rental Income
626,6/21/2024,"€728,93",Freelance
627,1/9/2024,"€80,93",Gift
628,11/12/2023,"€206,26",Rental Income
629,3/12/2024,"€694,75",Salary
630,10/19/2024,"€309,16",Gift
631,2/8/2024,"€500,61",Salary
632,3/13/2024,"€258,52",Rental Income
633,8/20/2024,"€938,66",Salary
634,1/27/2024,"€682,80",Salary
635,9/4/2024,"€641,98",Salary
636,9/7/2024,"€943,82",Salary
637,10/8/2024,"€133,76",Gift
638,6/27/2024,"€351,34",Salary
639,9/13/2024,"€182,27",Salary
640,10/17/2024,"€45,15",Rental Income
641,7/19/2024,"€295,20",Freelance
642,4/4/2024,"€7,24",Rental Income
643,4/19/2024,"€841,50",Investment
644,1/8/2024,"€689,43",Gift
645,12/22/2023,"€790,82",Gift
646,3/7/2024,"€628,36",Investment
647,7/25/2024,"€598,44",Salary
648,8/23/2024,"€196,56",Freelance
649,10/8/2024,"€81,30",Gift
650,1/7/2024,"€66,09",Investment
651,7/27/2024,"€571,71",Freelance
652,4/15/2024,"€386,83",Rental Income
653,3/25/2024,"€45,09",Rental Income
654,10/3/2024,"€426,88",Rental Income
655,2/26/2024,"€749,70",Investment
656,4/15/2024,"€144,27",Salary
657,1/18/2024,"€519,58",Investment
658,4/18/2024,"€634,58",Gift
659,6/24/2024,"€168,02",Gift
660,12/8/2023,"€663,86",Gift
661,3/28/2024,"€987,84",Salary
662,7/1/2024,"€117,70",Gift
663,5/14/2024,"€463,39",Freelance
664,7/7/2024,"€489,17",Investment
665,2/7/2024,"€538,34",Salary
666,5/1/2024,"€894,48",Investment
667,5/31/2024,"€274,08",Rental Income
668,8/24/2024,"€432,11",Investment
669,9/8/2024,"€736,94",Investment
670,9/6/2024,"€256,98",Freelance
671,10/5/2024,"€686,57",Freelance
672,4/16/2024,"€89,76",Gift
673,8/21/2024,"€759,49",Salary
674,9/7/2024,"€611,74",Gift
675,12/29/2023,"€277,88",Investment
676,10/17/2024,"€671,56",Investment
677,4/6/2024,"€826,42",Investment
678,3/5/2024,"€732,34",Rental Income
679,3/27/2024,"€850,09",Investment
680,10/11/2024,"€522,92",Salary
681,4/17/2024,"€779,00",Rental Income
682,12/30/2023,"€481,62",Rental Income
683,12/1/2023,"€867,90",Investment
684,4/5/2024,"€886,57",Gift
685,12/7/2023,"€417,62",Gift
686,1/29/2024,"€427,04",Gift
687,9/10/2024,"€99,27",Rental Income
688,2/20/2024,"€57,96",Salary
689,11/25/2023,"€213,47",Investment
690,9/1/2024,"€486,16",Investment
691,4/5/2024,"€190,75",Investment
692,12/22/2023,"€336,24",Investment
693,11/21/2023,"€41,30",Gift
694,11/13/2023,"€23,61",Rental Income
695,4/20/2024,"€401,09",Rental Income
696,5/25/2024,"€961,11",Investment
697,12/25/2023,"€248,40",Investment
698,1/23/2024,"€170,50",Gift
699,11/16/2023,"€801,05",Salary
700,1/4/2024,"€95,94",Investment
701,10/3/2024,"€382,22",Gift
702,11/12/2023,"€58,27",Gift
703,12/19/2023,"€939,23",Salary
704,7/29/2024,"€650,06",Freelance
705,10/18/2024,"€62,00",Freelance
706,1/24/2024,"€976,76",Investment
707,3/19/2024,"€650,39",Investment
708,1/17/2024,"€533,99",Salary
709,1/18/2024,"€702,09",Rental Income
710,4/13/2024,"€615,53",Gift
711,4/25/2024,"€644,80",Freelance
712,11/14/2023,"€167,65",Gift
713,8/6/2024,"€965,25",Rental Income
714,8/26/2024,"€542,55",Investment
715,3/14/2024,"€925,41",Investment
716,1/13/2024,"€603,47",Gift
717,10/18/2024,"€573,38",Investment
718,5/1/2024,"€866,07",Salary
719,10/23/2024,"€66,68",Freelance
720,11/14/2023,"€60,27",Rental Income
721,9/2/2024,"€632,63",Freelance
722,12/2/2023,"€32,53",Freelance
723,10/17/2024,"€540,11",Freelance
724,11/7/2024,"€918,40",Investment
725,2/17/2024,"€979,04",Gift
726,2/28/2024,"€888,71",Freelance
727,8/18/2024,"€265,90",Investment
728,3/16/2024,"€577,43",Investment
729,7/2/2024,"€201,29",Investment
730,7/25/2024,"€662,01",Investment
731,9/24/2024,"€201,22",Freelance
732,7/21/2024,"€243,52",Gift
733,9/28/2024,"€151,69",Freelance
734,10/30/2024,"€367,63",Rental Income
735,3/24/2024,"€551,40",Freelance
736,4/30/2024,"€140,82",Salary
737,3/7/2024,"€424,49",Rental Income
738,6/3/2024,"€455,28",Freelance
739,3/20/2024,"€477,00",Rental Income
740,5/19/2024,"€187,71",Rental Income
741,11/8/2023,"€633,40",Salary
742,11/19/2023,"€921,64",Salary
743,7/16/2024,"€927,24",Salary
744,11/8/2023,"€873,59",Gift
745,3/14/2024,"€194,33",Gift
746,9/22/2024,"€364,06",Gift
747,5/19/2024,"€541,15",Gift
748,6/30/2024,"€403,48",Rental Income
749,10/21/2024,"€968,47",Freelance
750,8/30/2024,"€31,69",Rental Income
751,4/10/2024,"€202,09",Salary
752,1/14/2024,"€600,22",Investment
753,1/25/2024,"€535,05",Freelance
754,8/21/2024,"€475,14",Freelance
755,10/1/2024,"€263,15",Investment
756,8/5/2024,"€901,47",Rental Income
757,11/15/2023,"€893,41",Rental Income
758,7/1/2024,"€62,63",Investment
759,5/1/2024,"€324,08",Salary
760,9/8/2024,"€238,80",Salary
761,11/11/2023,"€609,61",Rental Income
762,12/29/2023,"€965,68",Investment
763,5/10/2024,"€296,85",Freelance
764,10/24/2024,"€379,04",Investment
765,5/12/2024,"€66,92",Freelance
766,4/1/2024,"€173,85",Investment
767,1/24/2024,"€993,05",Freelance
768,8/20/2024,"€363,25",Gift
769,6/22/2024,"€694,07",Gift
770,8/26/2024,"€986,86",Rental Income
771,2/25/2024,"€949,11",Gift
772,10/16/2024,"€266,00",Gift
773,3/16/2024,"€387,65",Freelance
774,8/16/2024,"€169,16",Investment
775,5/11/2024,"€865,15",Salary
776,8/31/2024,"€226,78",Gift
777,9/17/2024,"€91,29",Freelance
778,3/10/2024,"€500,73",Salary
779,12/16/2023,"€272,82",Rental Income
780,11/10/2023,"€237,82",Gift
781,12/21/2023,"€872,41",Gift
782,8/5/2024,"€201,56",Gift
783,11/27/2023,"€662,47",Gift
784,6/4/2024,"€478,86",Gift
785,3/27/2024,"€938,64",Rental Income
786,5/24/2024,"€822,87",Salary
787,5/14/2024,"€316,89",Rental Income
788,5/22/2024,"€147,59",Freelance
789,2/3/2024,"€732,77",Freelance
790,12/10/2023,"€693,73",Freelance
791,2/21/2024,"€348,95",Freelance
792,2/18/2024,"€542,70",Rental Income
793,8/17/2024,"€43,31",Freelance
794,1/3/2024,"€673,17",Gift
795,7/12/2024,"€961,22",Gift
796,3/17/2024,"€854,66",Rental Income
797,1/26/2024,"€664,36",Salary
798,3/21/2024,"€180,94",Rental Income
799,4/28/2024,"€676,60",Rental Income
800,3/25/2024,"€313,02",Freelance
801,8/19/2024,"€878,85",Rental Income
802,8/21/2024,"€492,09",Salary
803,7/18/2024,"€889,46",Freelance
804,1/15/2024,"€277,40",Rental Income
805,8/4/2024,"€852,83",Gift
806,12/22/2023,"€544,69",Freelance
807,8/27/2024,"€126,89",Investment
808,4/9/2024,"€741,69",Freelance
809,2/11/2024,"€896,34",Freelance
810,9/23/2024,"€720,93",Rental Income
811,1/17/2024,"€911,23",Investment
812,10/1/2024,"€968,01",Salary
813,2/5/2024,"€131,02",Rental Income
814,6/28/2024,"€660,95",Investment
815,8/4/2024,"€630,04",Investment
816,5/13/2024,"€871,52",Investment
817,10/10/2024,"€632,07",Gift
818,3/26/2024,"€973,20",Investment
819,11/2/2024,"€461,38",Freelance
820,1/4/2024,"€848,70",Salary
821,1/19/2024,"€560,88",Investment
822,4/4/2024,"€220,91",Freelance
823,7/2/2024,"€716,08",Investment
824,4/3/2024,"€217,00",Salary
825,7/6/2024,"€783,62",Freelance
826,7/15/2024,"€681,20",Investment
827,1/6/2024,"€763,86",Investment
828,9/12/2024,"€433,48",Freelance
829,4/12/2024,"€478,27",Investment
830,9/22/2024,"€618,53",Salary
831,6/17/2024,"€301,77",Freelance
832,6/29/2024,"€415,60",Salary
833,2/21/2024,"€646,26",Investment
834,7/3/2024,"€18,97",Salary
835,10/2/2024,"€966,97",Freelance
836,1/17/2024,"€30,33",Salary
837,7/10/2024,"€473,73",Investment
838,4/27/2024,"€164,93",Investment
839,7/15/2024,"€778,28",Rental Income
840,8/31/2024,"€734,25",Rental Income
841,10/18/2024,"€702,70",Investment
842,11/9/2023,"€341,99",Rental Income
843,7/14/2024,"€878,91",Investment
844,6/21/2024,"€541,45",Investment
845,3/8/2024,"€996,91",Gift
846,4/3/2024,"€420,56",Freelance
847,11/19/2023,"€266,14",Gift
848,2/15/2024,"€111,86",Rental Income
849,12/2/2023,"€206,16",Salary
850,2/12/2024,"€24,29",Gift
851,1/9/2024,"€524,65",Salary
852,5/26/2024,"€631,33",Investment
853,5/1/2024,"€913,51",Freelance
854,7/8/2024,"€571,78",Gift
855,7/8/2024,"€727,80",Investment
856,9/18/2024,"€976,48",Rental Income
857,2/17/2024,"€318,01",Freelance
858,11/15/2023,"€12,10",Rental Income
859,1/19/2024,"€372,75",Investment
860,7/26/2024,"€162,41",Investment
861,7/8/2024,"€66,52",Freelance
862,5/25/2024,"€939,23",Salary
863,10/23/2024,"€4,00",Freelance
864,10/10/2024,"€204,85",Freelance
865,9/3/2024,"€772,12",Salary
866,8/10/2024,"€894,04",Investment
867,9/27/2024,"€208,58",Freelance
868,2/11/2024,"€159,41",Rental Income
869,7/30/2024,"€903,97",Investment
870,4/15/2024,"€453,81",Freelance
871,10/28/2024,"€896,53",Salary
872,5/20/2024,"€343,98",Rental Income
873,7/9/2024,"€29,27",Gift
874,2/25/2024,"€231,34",Salary
875,12/21/2023,"€969,02",Rental Income
876,12/22/2023,"€750,79",Investment
877,5/21/2024,"€872,55",Rental Income
878,11/1/2024,"€492,13",Gift
879,3/15/2024,"€200,43",Investment
880,2/7/2024,"€439,20",Freelance
881,6/27/2024,"€574,00",Gift
882,5/1/2024,"€553,87",Freelance
883,8/20/2024,"€419,74",Salary
884,10/1/2024,"€906,17",Freelance
885,11/14/2023,"€794,65",Gift
886,5/23/2024,"€770,24",Investment
887,2/26/2024,"€442,25",Rental Income
888,4/22/2024,"€272,84",Salary
889,9/4/2024,"€785,32",Salary
890,1/28/2024,"€8,23",Gift
891,4/4/2024,"€74,62",Investment
892,10/15/2024,"€748,98",Salary
893,2/1/2024,"€35,95",Salary
894,12/14/2023,"€396,20",Rental Income
895,2/3/2024,"€168,03",Rental Income
896,1/22/2024,"€318,25",Salary
897,11/13/2023,"€742,94",Rental Income
898,1/7/2024,"€368,42",Salary
899,1/30/2024,"€685,09",Salary
900,3/24/2024,"€879,11",Salary
901,10/28/2024,"€658,71",Rental Income
902,1/13/2024,"€812,12",Rental Income
903,2/13/2024,"€3,82",Rental Income
904,4/27/2024,"€173,26",Investment
905,12/10/2023,"€1,92",Gift
906,4/28/2024,"€349,16",Rental Income
907,4/22/2024,"€958,94",Salary
908,9/18/2024,"€23,14",Gift
909,7/22/2024,"€801,44",Gift
910,2/8/2024,"€991,55",Rental Income
911,8/7/2024,"€772,72",Gift
912,7/14/2024,"€503,01",Investment
913,11/10/2023,"€76,89",Freelance
914,4/10/2024,"€548,29",Gift
915,12/12/2023,"€263,45",Rental Income
916,8/30/2024,"€581,84",Rental Income
917,11/11/2023,"€302,99",Rental Income
918,3/9/2024,"€928,24",Salary
919,10/29/2024,"€387,31",Salary
920,9/4/2024,"€447,47",Investment
921,4/21/2024,"€70,16",Gift
922,1/3/2024,"€131,33",Gift
923,5/12/2024,"€512,63",Salary
924,11/17/2023,"€263,69",Freelance
925,12/17/2023,"€908,20",Salary
926,1/4/2024,"€79,97",Investment
927,10/23/2024,"€638,75",Gift
928,4/28/2024,"€232,21",Rental Income
929,10/10/2024,"€124,35",Freelance
930,12/26/2023,"€492,07",Investment
931,10/6/2024,"€605,29",Rental Income
932,10/11/2024,"€164,48",Gift
933,11/26/2023,"€84,82",Salary
934,2/27/2024,"€535,91",Investment
935,6/26/2024,"€21,31",Rental Income
936,2/14/2024,"€991,99",Investment
937,4/27/2024,"€379,35",Investment
938,2/4/2024,"€619,11",Salary
939,1/15/2024,"€209,96",Gift
940,11/15/2023,"€75,96",Salary
941,8/15/2024,"€473,56",Freelance
942,3/6/2024,"€534,99",Investment
943,5/2/2024,"€764,54",Salary
944,4/22/2024,"€4,26",Investment
945,6/9/2024,"€337,86",Salary
946,4/27/2024,"€17,10",Salary
947,1/31/2024,"€299,72",Freelance
948,2/13/2024,"€789,05",Investment
949,2/24/2024,"€50,51",Gift
950,6/13/2024,"€786,24",Freelance
951,10/1/2024,"€813,12",Salary
952,1/27/2024,"€732,45",Gift
953,4/1/2024,"€707,21",Gift
954,2/23/2024,"€346,46",Freelance
955,3/19/2024,"€71,06",Freelance
956,6/21/2024,"€91,66",Gift
957,12/21/2023,"€469,55",Salary
958,8/27/2024,"€273,81",Freelance
959,8/29/2024,"€633,32",Salary
960,4/16/2024,"€220,07",Gift
961,11/16/2023,"€453,76",Rental Income
962,10/9/2024,"€669,50",Investment
963,4/16/2024,"€335,78",Gift
964,1/10/2024,"€951,20",Freelance
965,1/6/2024,"€552,93",Investment
966,3/25/2024,"€463,68",Freelance
967,1/7/2024,"€25,94",Gift
968,6/15/2024,"€930,06",Investment
969,4/3/2024,"€776,70",Gift
970,10/22/2024,"€885,20",Freelance
971,1/21/2024,"€675,53",Investment
972,2/21/2024,"€745,39",Freelance
973,12/6/2023,"€356,00",Gift
974,6/15/2024,"€8,45",Freelance
975,8/11/2024,"€608,47",Gift
976,3/2/2024,"€253,52",Rental Income
977,12/31/2023,"€601,34",Investment
978,4/24/2024,"€328,13",Investment
979,8/29/2024,"€72,82",Salary
980,9/3/2024,"€989,89",Gift
981,10/27/2024,"€600,55",Salary
982,12/11/2023,"€396,15",Salary
983,4/27/2024,"€589,91",Investment
984,7/13/2024,"€636,40",Gift
985,10/5/2024,"€879,96",Investment
986,9/25/2024,"€536,23",Gift
987,8/12/2024,"€812,31",Investment
988,7/12/2024,"€120,37",Freelance
989,6/7/2024,"€531,65",Gift
990,4/7/2024,"€319,49",Investment
991,8/31/2024,"€304,29",Rental Income
992,8/3/2024,"€785,20",Investment
993,8/31/2024,"€282,19",Salary
994,8/13/2024,"€539,40",Rental Income
995,1/11/2024,"€490,53",Gift
996,12/8/2023,"€656,74",Investment
997,11/19/2023,"€936,18",Freelance
998,2/17/2024,"€25,04",Freelance
999,11/12/2023,"€546,79",Salary
1000,11/29/2023,"€656,84",Salary
